St Stephen's Bugiri Secondary School,22
St Stephen Secondary School,138
Standard Central College Namwendwa,100
Nkutu Memorial Secondary School,200
Standard High School Bulumagi,45
Target Community College,45
Teso College Aloet,180
Tororo Comprehensive Secondary School,20
Tororo Universal College,43
Trinity Secondary School Nakibizzi,25
Tropical College Tororo,12
Uganda Martyrs College Ssonde,27
Uganda Martyrs High School Rubaga,141
University Link High School,108
Uplands High School,40
Waitambogwe Secondary School,55
Winston Stardard Secondary School,56
Wobulenzi College School,0
Wobulenzi Town Academy,45
Yefe High School,14
St Denis Ssebugwawo Secondary School Ggaba,56
Giants' College Luwero,15
Luzira Secondary School,170
Namakwa Senior Secondary School,50
Paul Mukasa Secondary School Kigunga,60
St Antonios Orthodox Secondary School Monde,13
St Mary's College Kisubi,140
Trinity Senior Academy,70
Tororo Girls' School,112
PMM Girls' School Jinja,250
Lira Town College,250
Dr Obote College Boroboro,160
Comboni College Lira,39
Leo Atubo Secondary School,24
Townside High School,47
The Vision High School Lira,46
DJRA Comprehesive Secondary School,52
St Balikuddembe Secondary School Kisoga,50
Wakyato Seed Secondary School,0
Bright Light College,46
St Peter's Secondary School Magwa,115
Jinja Secondary School,0
